,attack_raw,attack_display,position_vector,magnitude,unit_vector,projection,dot_product,angle_with_Q,Orthogonality
0,80,384,[ 80 384],392.2448215082004,[0.20395425 0.97898042],[232. 232.],464,33.23171106797937,False
1,90,432,[ 90 432],441.27542419672545,[0.20395425 0.97898042],[261. 261.],522,33.231711067979354,False
2,100,480,[100 480],490.3060268852505,[0.20395425 0.97898042],[290. 290.],580,33.23171106797937,False
3,120,576,[120 576],588.3672322623006,[0.20395425 0.97898042],[348. 348.],696,33.231711067979354,False
4,130,624,[130 624],637.3978349508257,[0.20395425 0.97898042],[377. 377.],754,33.23171106797937,False
5,140,672,[140 672],686.4284376393507,[0.20395425 0.97898042],[406. 406.],812,33.231711067979354,False
6,150,720,[150 720],735.4590403278758,[0.20395425 0.97898042],[435. 435.],870,33.23171106797937,False
7,180,864,[180 864],882.5508483934509,[0.20395425 0.97898042],[522. 522.],1044,33.231711067979354,False
8,190,912,[190 912],931.581451081976,[0.20395425 0.97898042],[551. 551.],1102,33.231711067979354,False
9,210,1008,[ 210 1008],1029.642656459026,[0.20395425 0.97898042],[609. 609.],1218,33.23171106797937,False
10,110,528,[110 528],539.3366295737756,[0.20395425 0.97898042],[319. 319.],638,33.231711067979354,False
11,130,624,[130 624],637.3978349508257,[0.20395425 0.97898042],[377. 377.],754,33.23171106797937,False
12,140,672,[140 672],686.4284376393507,[0.20395425 0.97898042],[406. 406.],812,33.231711067979354,False
13,170,816,[170 816],833.5202457049259,[0.20395425 0.97898042],[493. 493.],986,33.23171106797937,False
14,190,912,[190 912],931.581451081976,[0.20395425 0.97898042],[551. 551.],1102,33.231711067979354,False
15,120,576,[120 576],588.3672322623006,[0.20395425 0.97898042],[348. 348.],696,33.231711067979354,False
16,130,624,[130 624],637.3978349508257,[0.20395425 0.97898042],[377. 377.],754,33.23171106797937,False
17,150,720,[150 720],735.4590403278758,[0.20395425 0.97898042],[435. 435.],870,33.23171106797937,False
18,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
19,110,528,[110 528],539.3366295737756,[0.20395425 0.97898042],[319. 319.],638,33.231711067979354,False
20,120,576,[120 576],588.3672322623006,[0.20395425 0.97898042],[348. 348.],696,33.231711067979354,False
21,140,672,[140 672],686.4284376393507,[0.20395425 0.97898042],[406. 406.],812,33.231711067979354,False
22,170,816,[170 816],833.5202457049259,[0.20395425 0.97898042],[493. 493.],986,33.23171106797937,False
23,180,864,[180 864],882.5508483934509,[0.20395425 0.97898042],[522. 522.],1044,33.231711067979354,False
24,190,912,[190 912],931.581451081976,[0.20395425 0.97898042],[551. 551.],1102,33.231711067979354,False
25,110,528,[110 528],539.3366295737756,[0.20395425 0.97898042],[319. 319.],638,33.231711067979354,False
26,130,624,[130 624],637.3978349508257,[0.20395425 0.97898042],[377. 377.],754,33.23171106797937,False
27,140,672,[140 672],686.4284376393507,[0.20395425 0.97898042],[406. 406.],812,33.231711067979354,False
28,150,720,[150 720],735.4590403278758,[0.20395425 0.97898042],[435. 435.],870,33.23171106797937,False
29,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
30,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
31,180,864,[180 864],882.5508483934509,[0.20395425 0.97898042],[522. 522.],1044,33.231711067979354,False
32,110,528,[110 528],539.3366295737756,[0.20395425 0.97898042],[319. 319.],638,33.231711067979354,False
33,120,576,[120 576],588.3672322623006,[0.20395425 0.97898042],[348. 348.],696,33.231711067979354,False
34,130,624,[130 624],637.3978349508257,[0.20395425 0.97898042],[377. 377.],754,33.23171106797937,False
35,150,720,[150 720],735.4590403278758,[0.20395425 0.97898042],[435. 435.],870,33.23171106797937,False
36,160,768,[160 768],784.4896430164008,[0.20395425 0.97898042],[464. 464.],928,33.23171106797937,False
37,170,816,[170 816],833.5202457049259,[0.20395425 0.97898042],[493. 493.],986,33.23171106797937,False
38,140,672,[140 672],686.4284376393507,[0.20395425 0.97898042],[406. 406.],812,33.231711067979354,False
39,150,720,[150 720],735.4590403278758,[0.20395425 0.97898042],[435. 435.],870,33.23171106797937,False
