id,elderseal,rarity,damageType,name,attack_display,attack_raw,element_type,element_damage,element_hidden
1,,1,sever,Buster Sword 1,384,80,,0,
2,,1,sever,Buster Sword 2,432,90,,0,
3,,2,sever,Buster Sword 3,480,100,,0,
4,,3,sever,Buster Blade 1,576,120,,0,
5,,4,sever,Buster Blade 2,624,130,,0,
6,,5,sever,Buster Blade 3,672,140,poison,240,TRUE
7,,6,sever,Chrome Razor 1,720,150,poison,330,TRUE
8,,6,sever,Chrome Razor 2,864,180,poison,420,TRUE
9,high,7,sever,Nergal Judicator,912,190,dragon,120,FALSE
10,high,8,sever,Purgation's Atrocity,1008,210,dragon,150,FALSE
11,,3,sever,Thunder Blade 1,528,110,thunder,120,FALSE
12,,4,sever,Thunder Blade 2,624,130,thunder,150,FALSE
13,,5,sever,Lightning Punisher 1,672,140,thunder,180,FALSE
14,,6,sever,Lightning Punisher 2,816,170,thunder,210,FALSE
15,,6,sever,Lightning Punisher 3,912,190,thunder,240,FALSE
16,,4,sever,Freeze Blade 1,576,120,ice,240,FALSE
17,,5,sever,Freeze Blade 2,624,130,ice,270,FALSE
18,,6,sever,Frost Blaze 1,720,150,ice,330,FALSE
19,,6,sever,Frost Blaze 2,768,160,ice,390,FALSE
20,,2,sever,Jagras Blade 1,528,110,,0,
21,,3,sever,Jagras Blade 2,576,120,,0,
22,,4,sever,Jagras Blade 3,672,140,,0,
23,,5,sever,Jagras Hacker 1,816,170,water,210,TRUE
24,,6,sever,Jagras Hacker 2,864,180,water,240,TRUE
25,,6,sever,Jagras Hacker 3,912,190,water,300,TRUE
26,,3,sever,Girros Blade 1,528,110,paralysis,210,FALSE
27,,4,sever,Girros Blade 2,624,130,paralysis,240,FALSE
28,,5,sever,Malady's Kiss 1,672,140,paralysis,270,FALSE
29,,6,sever,Malady's Kiss 2,720,150,paralysis,360,FALSE
30,,6,sever,Malady's Kiss 3,768,160,paralysis,450,FALSE
31,,6,sever,Lava Blaze 1,768,160,fire,270,FALSE
32,,7,sever,Lava Blaze 2,864,180,fire,330,FALSE
33,,2,sever,Blooming Blade 1,528,110,poison,240,FALSE
34,,3,sever,Blooming Blade 2,576,120,poison,300,FALSE
35,,4,sever,Blooming Blade 3,624,130,poison,360,FALSE
36,,5,sever,Datura Blaze 1,720,150,poison,420,FALSE
37,,6,sever,Datura Blaze 2,768,160,poison,480,FALSE
38,,6,sever,Datura Blaze 3,816,170,poison,540,FALSE
39,,4,sever,Flame Blade 1,672,140,fire,120,FALSE
40,,5,sever,Flame Blade 2,720,150,fire,150,FALSE
41,,6,sever,Red Wing,768,160,fire,180,FALSE
42,,7,sever,Blue Wing,816,170,fire,210,FALSE
43,,8,sever,Rathalos Glinsword,912,190,fire,240,FALSE
44,,1,sever,Bone Blade 1,480,100,,0,
45,,1,sever,Bone Blade 2,528,110,,0,
46,,2,sever,Bone Blade 3,576,120,,0,
47,,3,sever,Bone Slasher 1,672,140,,0,
48,,4,sever,Bone Slasher 2,720,150,,0,
49,,5,sever,Bone Slasher 3,768,160,ice,180,TRUE
50,,6,sever,Giant Jawblade 1,816,170,ice,240,TRUE
51,,6,sever,Giant Jawblade 2,912,190,ice,300,TRUE
52,average,7,sever,Hazak Kys,912,190,dragon,300,FALSE
53,average,8,sever,Leviathan's Fury,960,200,dragon,300,FALSE
54,,3,sever,Flammenzahn,720,150,fire,240,FALSE
55,,5,sever,Flammenzahn+,864,180,fire,300,FALSE
56,,7,sever,Gnashing Flammenzahn,1008,210,fire,480,FALSE
57,,2,sever,Aqua Slasher 1,576,120,water,120,FALSE
58,,3,sever,Aqua Slasher 2,624,130,water,150,FALSE
59,,4,sever,Aqua Slasher 3,672,140,water,180,FALSE
60,,5,sever,Water Golem 1,768,160,water,240,FALSE
61,,6,sever,Water Golem 2,816,170,water,270,FALSE
62,,6,sever,Water Golem 3,912,190,water,300,FALSE
63,,2,sever,Carapace Buster 1,624,130,,0,
64,,3,sever,Carapace Buster 2,672,140,,0,
65,,4,sever,Carapace Buster 3,720,150,,0,
66,,5,sever,Barroth Shredder 1,816,170,paralysis,270,TRUE
67,,6,sever,Barroth Shredder 2,864,180,paralysis,330,TRUE
68,,6,sever,Barroth Shredder 3,960,200,paralysis,390,TRUE
69,,3,sever,Spiked Blade 1,624,130,sleep,150,FALSE
70,,4,sever,Spiked Blade 2,672,140,sleep,180,FALSE
71,,5,sever,Radobaan Slab 1,768,160,sleep,210,FALSE
72,,6,sever,Radobaan Slab 2,816,170,sleep,240,FALSE
73,,6,sever,Radobaan Slab 3,912,190,sleep,270,FALSE
74,low,3,sever,Dragonbone Cleaver 1,480,100,dragon,270,FALSE
75,low,4,sever,Dragonbone Cleaver 2,576,120,dragon,330,FALSE
76,low,6,sever,Dragonbone Cleaver 3,768,160,dragon,420,FALSE
77,,4,sever,Thundersword,528,110,thunder,360,FALSE
78,,7,sever,Kirin Thundersword,720,150,thunder,480,FALSE
79,,8,sever,King Thundersword,768,160,thunder,540,FALSE
80,,5,sever,Magda Potestas 1,768,160,blast,330,FALSE
81,,7,sever,Magda Potestas 2,1056,220,blast,420,FALSE
82,low,5,sever,Blacksteel Chopper 1,480,100,dragon,90,FALSE
83,low,6,sever,Blacksteel Chopper 2,576,120,dragon,120,FALSE
